TCSC,MAV,STE,MEA,shannon_git,sample_git,power_git,energy_git,skewness,kurtosis,std_dev,rhythm
9,0.181,1481.57,1326.835,2.641,0.233,0.003717,224.793632,3.1534,14.2852,0.4743,0
8,0.187,1480.796,1317.123,2.843,0.209,0.007232,200.617261,2.909,14.8372,0.4487,0
9,0.215,1528.634,1330.864,2.574,0.182,0.003212,204.81664,3.1628,14.6478,0.4549,0
8,0.203,1518.277,1328.952,3.101,0.196,0.006996,198.401422,2.6801,13.5583,0.4436,0
9,0.195,1511.251,1338.914,2.453,0.228,0.005438,203.451392,3.0108,14.509,0.4567,0
9,0.241,1524.313,1330.431,3.002,0.245,0.004243,197.139326,2.8679,14.9884,0.4463,0
8,0.204,1521.826,1327.853,2.838,0.228,0.003828,170.277658,3.1767,16.4049,0.4144,0
8,0.162,1465.976,1311.753,2.744,0.198,0.0046,160.995768,2.6539,14.2435,0.4062,0
10,0.169,1481.148,1321.97,3.129,0.238,0.005153,192.174962,2.2468,12.3509,0.4366,0
10,0.184,1489.151,1322.6,3.054,0.219,0.004183,212.787188,2.5665,12.2106,0.4615,0
8,0.19,1512.089,1328.45,1.781,0.181,0.005427,177.984032,3.7586,17.7794,0.4223,0
9,0.2,1527.508,1336.919,1.876,0.14,0.003021,188.006488,3.6552,16.5466,0.4391,0
8,0.169,1436.905,1304.547,2.985,0.25,0.00461,194.170851,3.2457,16.3668,0.443,0
8,0.169,1465.092,1320.934,2.344,0.209,0.005309,180.374723,3.7261,17.8524,0.4303,0
10,0.171,1447.027,1317.189,2.698,0.368,0.003832,232.996426,3.2289,14.4426,0.4949,0
9,0.262,1530.635,1335.801,3.168,0.394,0.007459,257.959661,2.5054,11.3774,0.5074,0
8,0.188,1495.665,1330.452,2.772,0.371,0.008187,222.992038,3.022,13.8518,0.4726,0
10,0.198,1497.497,1323.917,2.514,0.237,0.002969,198.950188,3.3042,14.629,0.4515,0
8,0.166,1477.823,1319.826,2.163,0.16,0.00531,171.243656,3.6362,17.2576,0.4155,0
9,0.185,1488.804,1329.333,2.533,0.206,0.004154,223.928076,3.3449,14.9739,0.477,0
8,0.151,1439.465,1316.607,2.086,0.15,0.008733,213.898327,3.6572,17.1604,0.4615,0
9,0.17,1467.587,1327.46,2.013,0.138,0.004006,233.524185,3.511,15.6124,0.4855,0
8,0.147,1447.633,1317.317,1.959,0.161,0.005246,180.101987,3.7464,17.7967,0.4273,0
8,0.131,1426.96,1310.097,2.02,0.126,0.003129,158.828842,3.8881,18.7353,0.4049,0
9,0.128,1421.695,1316.199,2.032,0.158,0.002724,188.928254,3.6339,16.5272,0.4417,0
8,0.128,1410.704,1310.921,1.888,0.134,0.006363,199.940505,3.7944,18.0066,0.451,0
8,0.163,1446.586,1309.353,2.012,0.165,0.004943,190.431768,3.8224,18.1947,0.4421,0
8,0.15,1422.404,1303.758,2.055,0.187,0.004351,199.720456,3.7893,18.044,0.4525,0
9,0.185,1483.926,1327.749,2.011,0.151,0.004419,228.189988,3.5789,16.0805,0.4849,0
8,0.18,1474.63,1320.381,1.873,0.142,0.00446,207.814302,3.7726,17.8925,0.4606,0
8,0.166,1455.861,1317.401,1.927,0.139,0.006948,211.589486,3.7007,17.4248,0.4628,0
8,0.176,1467.357,1317.383,2.024,0.141,0.005698,203.808794,3.7828,17.9675,0.4563,0
9,0.185,1494.507,1329.181,2.013,0.153,0.003141,207.149937,3.5959,16.205,0.4621,0
8,0.18,1483.64,1322.649,1.993,0.156,0.005465,192.617795,3.7806,17.9923,0.444,0
8,0.154,1448.184,1313.613,2.078,0.164,0.004932,179.348479,3.8585,18.4983,0.4298,0
8,0.159,1456.711,1315.803,2.101,0.192,0.003545,178.974551,3.8537,18.5126,0.4309,0
9,0.183,1495.868,1332.142,2.087,0.211,0.003302,216.51834,3.4886,15.5079,0.4687,0
8,0.164,1460.858,1322.369,1.926,0.143,0.0057,212.274215,3.6921,17.2267,0.4628,0
8,0.166,1459.287,1316.439,1.997,0.149,0.006247,195.993235,3.7998,18.1547,0.4479,0
9,0.186,1490.134,1323.179,1.994,0.146,0.003562,182.981782,3.7156,17.2931,0.4457,0
8,0.231,1579.434,1352.65,2.066,0.149,0.003191,200.791813,3.7199,17.3131,0.4431,0
8,0.219,1544.469,1340.969,1.979,0.146,0.005744,201.543899,3.7554,17.8112,0.4536,0
8,0.191,1492.766,1324.184,1.92,0.127,0.006178,197.307548,3.8305,18.2716,0.4501,0
8,0.186,1484.039,1323.711,1.907,0.146,0.005,208.822481,3.7938,17.9141,0.4614,0
9,0.188,1478.175,1321.708,1.946,0.163,0.00414,227.058845,3.6289,16.405,0.4828,0
8,0.175,1477.946,1317.357,2.249,0.212,0.003173,169.305883,3.7578,18.2552,0.4194,0
8,0.194,1478.791,1317.046,2.087,0.203,0.00482,193.355913,3.7804,17.9733,0.4447,0
8,0.152,1439.389,1318.237,1.862,0.124,0.007524,216.243452,3.8092,18.0075,0.4698,0
8,0.117,1394.71,1304.089,1.948,0.147,0.0044,184.733365,3.8723,18.7335,0.4364,0
9,0.155,1443.845,1321.294,2.038,0.161,0.003859,229.757125,3.564,15.9864,0.4854,0
8,0.162,1439.042,1311.848,1.871,0.129,0.006039,225.314991,3.7317,17.4354,0.4764,0
8,0.182,1481.566,1321.798,1.858,0.142,0.006567,198.960406,3.817,18.16,0.4503,0
8,0.156,1444.937,1313.561,1.936,0.133,0.00456,196.617766,3.8224,18.1419,0.4483,0
9,0.159,1461.398,1322.771,2.009,0.149,0.003205,197.695801,3.6171,16.3267,0.4517,0
8,0.128,1419.069,1310.033,1.872,0.179,0.003164,172.669972,3.8914,18.6011,0.4206,0
8,0.137,1422.356,1308.396,2.084,0.21,0.003699,175.12446,3.8368,18.3305,0.4241,0
9,0.163,1452.358,1318.161,1.998,0.183,0.004665,199.312413,3.8168,18.1961,0.4538,0
8,0.141,1434.279,1316.204,1.92,0.193,0.004249,189.080548,3.8773,18.4717,0.4407,0
8,0.149,1432.585,1311.399,1.876,0.169,0.004786,200.192958,3.8156,18.0574,0.453,0
8,0.157,1466.17,1318.508,1.927,0.183,0.003595,157.420389,3.9833,19.406,0.405,0
8,0.136,1440.641,1312.152,1.895,0.183,0.00317,146.818243,3.9462,19.1208,0.391,0
8,0.154,1460.992,1317.192,1.907,0.164,0.003334,161.08231,3.9408,18.973,0.4087,0
8,0.158,1450.252,1314.492,1.978,0.188,0.004245,188.546754,3.8369,18.1903,0.4387,0
8,0.15,1440.72,1311.569,1.991,0.18,0.003907,185.538084,3.8136,18.0479,0.4353,0
9,0.153,1452.538,1321.321,2.042,0.151,0.003331,200.461618,3.5659,15.994,0.4558,0
8,0.168,1492.199,1326.697,1.955,0.156,0.002566,161.098204,3.8572,18.4972,0.4064,0
8,0.18,1497.338,1325.644,1.914,0.151,0.004382,176.051105,3.7959,18.0033,0.4234,0
8,0.153,1457.14,1312.534,1.959,0.155,0.003738,156.74371,3.8263,18.3307,0.4009,0
10,0.175,1491.021,1327.259,2.645,0.252,0.002373,183.13358,3.3208,15.1048,0.4362,0
12,0.166,1487.005,1323.964,3.065,0.389,0.003778,170.270352,2.8776,13.5641,0.4186,0
8,0.136,1432.901,1313.525,2.028,0.168,0.00461,169.226201,3.7775,18.1009,0.4184,0
9,0.159,1454.311,1316.558,2.081,0.14,0.003076,197.601671,3.5473,15.9606,0.4517,0
8,0.148,1450.601,1315.777,2.185,0.187,0.002487,155.475147,3.7389,17.9627,0.4023,0
8,0.179,1487.27,1320.265,1.908,0.161,0.004358,167.441218,3.7871,18.0395,0.4158,0
8,0.161,1464.525,1316.724,2.094,0.157,0.00365,163.43487,3.8163,18.4727,0.4118,0
8,0.306,1607.902,1372.84,2.746,0.227,0.00189,151.195497,3.0011,13.673,0.4046,0
7,0.264,1647.18,1372.067,2.06,0.217,0.001584,129.252151,3.7914,18.5594,0.3684,0
7,0.221,1515.466,1360.985,2.552,0.218,0.004926,175.873653,3.3006,15.847,0.4438,0
6,0.696,1897.675,1651.782,3.705,0.358,0.003657,145.903462,0.1527,3.4702,0.5642,0
12,0.425,1774.877,1492.628,3.397,0.354,0.002366,143.394916,2.1287,9.7883,0.3936,0
20,0.313,1557.511,1351.046,3.264,0.389,0.008179,232.92604,2.5425,11.9883,0.4943,0
15,0.203,1428.275,1301.268,3.106,0.313,0.01228,324.029216,2.0214,9.0764,0.5662,0
20,0.219,1522.009,1349.126,3.581,0.421,0.013293,309.202414,1.4685,5.3033,0.5471,0
13,0.499,1749.522,1452.288,3.966,0.434,0.017247,340.059784,1.1074,6.0653,0.5932,0
8,0.431,1669.916,1403.11,4.216,0.356,0.003495,174.743594,1.5615,7.9996,0.4148,0
12,0.119,1424.784,1300.944,3.114,0.394,0.00075,103.480048,3.1789,14.8253,0.3284,0
13,0.343,1585.839,1357.553,3.419,0.359,0.00916,230.395259,1.3003,6.3972,0.4838,0
9,0.524,1654.209,1405.109,3.492,0.3,0.004883,192.648454,1.7774,8.5607,0.4573,0
9,0.185,1461.898,1307.443,3.266,0.307,0.007464,198.90268,2.8815,13.0356,0.4479,0
12,0.179,1459.68,1319.404,3.06,0.357,0.007247,252.14068,2.2948,10.1856,0.5054,0
10,0.169,1417.459,1300.834,2.339,0.147,0.004115,215.1335,3.4833,15.7224,0.4677,0
8,0.131,1409.312,1305.514,2.424,0.225,0.005141,184.599043,3.635,17.2042,0.4344,0
9,0.149,1426.598,1312.15,2.499,0.2,0.004231,216.952128,3.4295,15.3832,0.4731,0
8,0.173,1445.893,1308.189,1.952,0.135,0.005438,197.72636,3.7115,17.521,0.447,0
9,0.131,1417.768,1308.705,2.153,0.164,0.003388,182.140469,3.645,16.7548,0.4342,0
8,0.165,1493.545,1324.11,1.953,0.174,0.002438,143.125339,3.8905,18.8908,0.3869,0
9,0.127,1405.621,1299.742,2.124,0.169,0.003717,147.686111,3.7216,18.0612,0.3985,0
13,0.297,1553.987,1358.898,3.009,0.315,0.00636,250.149915,2.6793,11.5906,0.526,0
13,0.222,1570.162,1349.735,3.329,0.443,0.003283,160.270089,2.1359,10.5532,0.4151,0
9,0.201,1528.836,1338.433,3.877,0.463,0.00287,154.7474,1.403,8.4107,0.4041,0
16,0.392,1667.214,1417.084,3.769,0.393,0.017636,356.876374,1.5729,7.1077,0.5855,0
17,0.285,1528.142,1336.086,3.848,0.43,0.023493,390.166975,1.0714,5.1586,0.6121,0
21,0.426,1917.401,1603.98,3.88,0.404,0.045477,498.031152,0.5314,4.6542,0.6986,0
13,0.578,1759.192,1491.705,3.985,0.401,0.032484,398.287904,1.3136,3.857,0.6972,0
17,0.399,1704.759,1445.94,3.395,0.454,0.022734,445.735342,1.5078,5.8082,0.6871,0
18,0.381,1677.356,1425.363,3.29,0.447,0.080499,715.226333,1.0697,3.6191,0.823,0
9,0.249,1563,1346.788,2.975,0.407,0.004511,207.59312,2.1692,9.7771,0.4677,0
9,0.197,1513.633,1326.131,2.781,0.374,0.004286,181.074071,2.9459,12.9197,0.4269,0
18,0.258,1521.141,1334.213,3.327,0.488,0.028418,368.553891,1.8423,8.0885,0.5927,0
11,0.237,1526.204,1332.979,3.017,0.263,0.011337,295.42423,2.3029,9.7253,0.5358,0
10,0.169,1447.259,1325.416,2.758,0.228,0.007738,278.508513,3.0723,13.2497,0.5219,0
17,0.399,1678.683,1411.194,3.072,0.326,0.009407,337.469154,1.9086,7.49,0.5778,0
13,0.275,1534.837,1354.288,3.221,0.375,0.012437,379.618041,2.2878,8.5584,0.6059,0
15,0.243,1548.33,1342.129,3.235,0.349,0.005837,256.310981,2.5462,11.4172,0.5118,0
12,0.251,1602.606,1375.95,3.019,0.381,0.005262,266.266551,2.2858,10.218,0.524,0
14,0.449,1756.984,1474.842,3.348,0.385,0.061279,605.680256,1.6988,6.1099,0.8084,0
11,0.305,1571.815,1351.393,3.368,0.373,0.016951,325.472192,1.9664,9.2848,0.5823,0
10,0.222,1532.848,1340.74,2.571,0.231,0.010455,249.694734,3.2049,13.9116,0.5004,0
8,0.184,1478.111,1322.415,2.052,0.168,0.010734,226.436397,3.6005,16.7155,0.4701,0
8,0.186,1486.321,1328.24,2.215,0.164,0.007472,234.97668,3.4061,15.0664,0.4828,0
9,0.204,1522.192,1339.147,2.153,0.145,0.004372,232.190382,3.3968,15.0109,0.4805,0
9,0.198,1484.588,1320.714,2.326,0.19,0.003953,221.907051,3.3438,14.7445,0.4738,0
8,0.217,1518.588,1335.568,2.42,0.286,0.010175,228.475742,3.4187,15.7364,0.4762,0
9,0.209,1503.574,1335.853,2.633,0.195,0.010548,289.769917,2.8436,11.7892,0.5365,0
9,0.219,1537.952,1343.026,2.316,0.152,0.004525,239.182569,3.3809,14.911,0.4894,0
8,0.334,1749.033,1424.177,2.102,0.152,0.009564,225.250443,3.5094,16.3092,0.4746,0
9,0.328,1720.451,1456.587,2.984,0.203,0.004717,257.894572,2.9507,13.0454,0.5149,0
9,0.304,1724.056,1418.049,2.236,0.143,0.00714,217.185701,3.3976,15.0346,0.4773,0
8,0.274,1675.213,1388.807,2.009,0.135,0.004135,193.026706,3.6988,17.5195,0.428,0
9,0.283,1673.423,1392.486,2.251,0.148,0.005777,219.287813,3.4046,15.1074,0.4713,0
8,0.267,1652.946,1394.369,2.319,0.241,0.004223,191.402008,3.2884,15.5718,0.4423,0
8,0.227,1582.276,1347.7,2.549,0.223,0.003878,157.053585,3.699,17.7199,0.4015,0
9,0.263,1596.219,1357.216,2.44,0.246,0.003588,212.006622,3.3427,14.8503,0.4607,0
8,0.238,1591.6,1353.889,2.154,0.175,0.006203,184.820856,3.6015,16.8656,0.431,0
9,0.241,1589.959,1356.839,2.069,0.134,0.003145,217.622584,3.4082,14.9993,0.4672,0
8,0.249,1647.067,1377.745,2.28,0.191,0.005129,167.006307,3.6449,17.2144,0.4099,0
9,0.239,1610.825,1365.384,2.233,0.141,0.002584,192.163182,3.4176,15.3195,0.4407,0
8,0.24,1591.608,1363.615,2.655,0.195,0.008971,225.200281,3.2295,15.4517,0.4726,0
10,0.253,1595.954,1358.269,2.83,0.224,0.004992,238.88653,2.6419,10.9536,0.4883,0
8,0.232,1582.947,1354.241,2.105,0.141,0.006649,191.292986,3.6725,17.3674,0.4395,0
9,0.237,1595.744,1360.038,2.057,0.125,0.003127,203.464542,3.4932,15.5862,0.4545,0
8,0.21,1544.54,1342.733,1.929,0.143,0.00548,192.649137,3.6786,17.2744,0.4415,0
9,0.202,1534.53,1336.204,2.113,0.128,0.00402,174.940907,3.5619,16.0902,0.4338,0
8,0.194,1532.222,1338.147,2.002,0.149,0.003566,185.50517,3.6672,17.1831,0.4186,0
9,0.189,1499.864,1324.24,2.197,0.18,0.005348,178.888489,3.6254,17.0138,0.4319,0
8,0.174,1474.944,1326.919,1.965,0.136,0.00467,228.461226,3.5931,16.2368,0.4748,0
8,0.144,1440.978,1309.512,2.068,0.133,0.004224,162.658618,3.7556,17.9729,0.4077,0
9,0.173,1487.308,1329.633,2.683,0.234,0.002829,194.465513,3.3361,15.0408,0.4487,0
8,0.168,1479.616,1327.501,2.027,0.171,0.005604,197.74973,3.5917,16.6935,0.4439,0
9,0.173,1467.868,1321.606,2.259,0.156,0.007047,215.660855,3.5089,16.1071,0.4709,0
8,0.201,1497.386,1324.673,2.064,0.132,0.003938,233.01608,3.5208,15.9231,0.4768,0
8,0.201,1511.142,1325.861,2.172,0.129,0.006702,195.736109,3.6196,16.9647,0.4421,0
9,0.192,1506.828,1336.27,2.267,0.172,0.003973,224.795265,3.3826,15.01,0.476,0
8,0.152,1441.57,1307.137,2.234,0.205,0.003219,168.644749,3.6903,17.4149,0.4142,0
8,0.162,1467.787,1323.346,2.353,0.21,0.006221,186.603255,3.6517,17.2727,0.4342,0
9,0.187,1497.297,1333.119,2.139,0.147,0.003917,226.345657,3.4136,15.1056,0.4772,0
8,0.19,1530.469,1338.131,2.11,0.172,0.004509,166.593676,3.6797,17.4858,0.4114,0
9,0.177,1491.739,1330.698,2.09,0.166,0.004197,205.103018,3.5,15.574,0.4562,0
8,0.164,1456.307,1316.522,1.943,0.133,0.004424,202.979044,3.7181,17.5678,0.4508,0
8,0.18,1478.839,1324.803,2.077,0.149,0.008259,218.779408,3.6298,16.9048,0.4684,0
9,0.199,1508.13,1333.126,2.495,0.187,0.004624,211.376945,3.4441,15.5546,0.4776,0
8,0.167,1492.08,1325.765,1.886,0.152,0.002182,167.918887,3.8457,18.3014,0.4008,0
8,0.14,1430.508,1304.459,1.971,0.155,0.002837,155.266701,3.8545,18.7068,0.4005,0
9,0.139,1409.86,1299.134,2.577,0.204,0.004598,180.476286,3.5772,17.3878,0.4221,0
32,0.281,1544.102,1353.9,3.118,0.422,0.002756,163.269314,2.6188,12.1427,0.4438,0
19,0.185,1524.502,1327.493,3.219,0.454,0.000984,118.391446,2.6729,12.226,0.3634,0
20,0.191,1470.819,1312.619,4.068,0.404,0.005632,178.922862,1.5159,8.5008,0.4238,0
11,0.181,1559.466,1344.674,3.698,0.477,0.001638,120.693226,2.114,9.327,0.3562,0
9,0.174,1489.313,1314.461,3.389,0.462,0.002921,125.151652,2.9604,14.3781,0.3617,0
9,0.174,1543.175,1339.466,2.643,0.385,0.000888,115.280443,3.4393,16.1173,0.3519,0
18,0.349,1816.823,1607.391,2.999,0.397,0.001244,85.578876,2.7808,13.9604,0.3243,0
13,0.371,1667.272,1401.928,2.942,0.46,0.001257,95.683346,2.7511,12.4572,0.3257,0
9,0.256,1800.559,1487.375,2.969,0.331,0.001344,98.214836,2.8695,13.1771,0.328,0
12,0.193,1603.268,1361.441,3.356,0.382,0.00162,121.77304,2.1715,8.9791,0.3596,0
9,0.325,1619.98,1367.691,3.491,0.364,0.003143,149.742102,2.0593,9.6342,0.4074,0
10,0.184,1575.874,1345.046,3.393,0.349,0.0015,106.708777,2.2416,9.9331,0.34,0
9,0.213,1624.801,1368.162,2.96,0.372,0.001527,114.052696,2.7426,12.3795,0.3445,0
8,0.209,1638.858,1381.69,3.18,0.269,0.002336,110.314658,2.8388,13.5227,0.3406,0
14,0.211,1582.382,1357.103,3.741,0.387,0.001741,129.600218,2.1678,9.5994,0.3651,0
11,0.219,1644.209,1374.286,3.615,0.418,0.002163,124.034684,2.307,11.0353,0.3545,0
14,0.223,1612.031,1371.201,3.469,0.411,0.010937,227.79268,1.6855,6.419,0.4758,0
18,0.244,1640.695,1394.287,3.983,0.457,0.017673,229.711991,0.6123,3.2149,0.472,1
25,0.336,1773.333,1485.327,4.541,0.456,0.087407,511.642084,0.0507,2.3193,0.6828,1
19,0.355,1698.236,1430.755,4.954,0.438,0.078757,550.588477,-0.4433,2.8457,0.7099,1
10,0.379,1850.364,1559.34,3.611,0.225,0.004191,113.984189,0.5154,5.1883,0.3217,1
21,0.122,2068.689,1711.086,3.159,0.349,0.000409,32.667294,1.2266,3.9567,0.178,1
23,0.308,1861.158,1555.788,4.255,0.267,0.100405,444.91896,0.4313,2.1092,0.6435,1
16,0.347,1760.865,1489.196,4.623,0.344,0.146782,519.646579,0.0084,2.3732,0.6866,1
1,0.117,1682.446,1453.022,4.72,0.35,0.001164,54.906952,-0.8282,2.8591,0.2222,1
11,0.21,1809.056,1538.321,5.061,0.275,0.01356,170.203158,-0.3315,2.6104,0.3918,1
26,0.311,1994.427,1654.234,4.6,0.376,0.146003,519.018904,0.1459,1.8901,0.6828,1
25,0.274,1953.973,1634.228,4.298,0.54,0.081423,397.821223,0.3353,2.2575,0.5934,1
22,0.206,1737.617,1440.767,4.192,0.583,0.017344,191.039985,0.7225,3.162,0.4144,1
19,0.205,1908.963,1578.204,4.503,0.557,0.015051,181.840817,0.428,2.7046,0.3987,1
26,0.197,1720.841,1432.545,4.44,0.583,0.032526,230.445816,0.3836,2.4394,0.451,1
21,0.153,1758.446,1468.379,4.354,0.59,0.007449,128.597432,0.3385,2.6099,0.3368,1
22,0.243,1717.334,1438.895,4.23,0.594,0.04972,357.295065,0.3959,2.6456,0.5573,1
20,0.216,1832.71,1536.709,4.649,0.622,0.036764,271.370381,0.1906,2.3418,0.4833,1
21,0.209,1866.805,1568.315,4.562,0.578,0.033307,261.829621,0.115,2.167,0.4739,1
20,0.245,1858.425,1557.136,4.428,0.601,0.061518,378.585927,0.2638,2.5542,0.5712,1
18,0.238,1859.274,1545.716,4.641,0.584,0.0353,319.026037,0.2848,2.2223,0.5231,1
19,0.219,1798.251,1501.747,4.545,0.567,0.043388,301.103575,0.2013,2.4293,0.5054,1
21,0.215,1859.192,1554.177,4.726,0.599,0.020871,244.887359,0.1824,2.3824,0.4569,1
16,0.271,1866.722,1565.06,4.389,0.55,0.064327,396.692813,0.2644,2.2642,0.5785,1
14,0.246,1728.671,1454.46,4.66,0.592,0.042483,330.940031,0.1216,2.5922,0.5281,1
17,0.225,1839.796,1540.556,4.563,0.57,0.038599,276.203332,0.1586,2.3022,0.4851,1
17,0.236,1801.034,1509.32,4.521,0.561,0.057144,358.502983,0.226,2.3341,0.5472,1
17,0.234,1791.339,1501.685,4.756,0.565,0.054898,349.811564,0.0214,2.2808,0.542,1
18,0.244,1921.982,1615.975,4.34,0.539,0.042579,381.973391,0.2691,2.2688,0.5684,1
14,0.199,1868.635,1560.504,4.665,0.586,0.013344,204.33102,0.1999,2.6116,0.4158,1
15,0.207,1863.686,1551.066,4.435,0.58,0.010739,210.287045,0.3154,2.2618,0.4247,1
20,0.203,1844.092,1542.773,4.786,0.516,0.018323,240.644365,0.2054,2.5064,0.4525,1
13,0.195,1686.417,1429.649,4.266,0.533,0.01573,220.462769,0.5424,3.0708,0.4337,1
15,0.216,1767.436,1475.667,4.501,0.576,0.028724,275.639295,0.4542,2.9069,0.4831,1
14,0.172,1785.807,1488.768,4.41,0.54,0.004546,151.705541,0.3911,2.5903,0.3593,1
16,0.25,1748.737,1461.979,4.567,0.552,0.058966,378.090187,0.4011,2.522,0.567,1
17,0.213,1607.918,1371.769,4.275,0.578,0.030336,270.388477,0.6849,3.645,0.4823,1
16,0.19,1671.314,1408.027,4.435,0.567,0.011053,213.22667,0.3066,2.8026,0.4257,1
12,0.247,1794.309,1492.02,4.639,0.607,0.026702,277.810402,0.2382,2.6178,0.4866,1
12,0.223,1643.112,1406.014,4.893,0.58,0.02147,282.541964,0.1712,3.0768,0.4929,0
8,0.271,1605.748,1382.778,4.221,0.567,0.040812,412.973829,0.7799,5.1106,0.6134,0
20,0.228,1806.333,1517.944,4.716,0.593,0.023018,293.009581,0.2258,2.2857,0.5003,1
16,0.239,1709.767,1431.115,4.397,0.595,0.032257,284.664172,0.5321,3.1716,0.4985,1
19,0.235,1696.672,1415.682,4.5,0.59,0.028217,281.61327,0.331,2.4957,0.4901,1
12,0.198,1767.968,1493.188,4.62,0.55,0.012931,192.808276,0.3516,2.7901,0.4091,1
21,0.187,1820.329,1523.157,4.582,0.589,0.012316,186.437135,0.166,2.1356,0.3994,1
22,0.252,1868.942,1549.88,4.353,0.583,0.045362,300.596698,0.4171,2.3153,0.5124,1
21,0.255,1908.249,1582.916,4.193,0.576,0.050275,354.73367,0.4587,2.4056,0.5576,1
23,0.275,1845.509,1523.202,4.171,0.536,0.085716,449.42016,0.4523,1.9973,0.6227,1
17,0.182,1700.791,1434.632,4.452,0.574,0.01517,187.477151,0.1969,2.775,0.4035,1
20,0.199,1685.893,1418.864,4.72,0.608,0.025826,246.826765,0.0526,2.5065,0.4611,1
22,0.186,1803.826,1520.621,4.7,0.611,0.009191,173.085741,0.1818,2.7553,0.387,1
24,0.168,1729.807,1449.088,4.609,0.587,0.012098,167.815496,0.0873,2.2314,0.38,1
19,0.211,1776.059,1488.334,4.663,0.599,0.018996,214.776108,0.1154,2.8329,0.4337,1
10,0.214,1757.257,1471.851,4.62,0.597,0.005628,152.100232,0.0513,2.5041,0.3641,1
17,0.229,1883.692,1589.237,4.717,0.62,0.029487,282.369406,0.04,2.2806,0.4936,1
20,0.211,1823.17,1527.704,4.573,0.603,0.017408,215.522762,0.0816,2.1427,0.4333,1
22,0.219,1866.401,1560.725,4.405,0.591,0.025806,231.073821,0.2039,2.2396,0.4487,1
20,0.279,1960.636,1647.991,4.415,0.561,0.079809,372.258231,0.2291,2.196,0.569,1
18,0.196,1716.383,1465.696,4.789,0.597,0.011512,177.192042,-0.0524,2.427,0.392,1
22,0.292,1912.276,1602.071,4.184,0.551,0.111955,449.576765,0.359,2.4882,0.627,1
18,0.297,1762.547,1471.143,4.408,0.564,0.095656,453.337307,0.5252,3.1919,0.6303,1
13,0.336,2059.886,1696.921,4.144,0.559,0.050929,325.380332,0.6058,3.0276,0.5373,1
7,0.324,1947.654,1627.254,4.702,0.621,0.019732,240.462889,0.0438,2.5005,0.4599,1
3,0.319,1945.693,1633.52,4.547,0.61,0.025461,244.313675,0.0892,2.1249,0.4585,1
10,0.297,1907.173,1609.625,4.662,0.592,0.022645,251.236669,0.0934,2.0855,0.4661,1
0,0.487,2024.507,1655.498,4.261,0.584,0.016997,225.406014,0.3691,2.6361,0.4428,1
0,0.509,2077.416,1703.027,4.673,0.605,0.018003,237.332006,0.1134,2.3535,0.4547,1
4,0.553,2028.645,1669.791,4.088,0.563,0.098855,448.291302,0.5277,2.803,0.6281,1
4,0.495,2069.867,1692.427,4.093,0.566,0.038823,311.719538,0.716,3.5544,0.5209,1
1,0.5,2051.411,1673.006,4.527,0.587,0.019698,252.343691,0.2637,2.922,0.4694,1
0,0.551,2077.794,1720.862,4.166,0.595,0.060827,402.614207,0.3475,2.2541,0.5906,1
2,0.526,2020.089,1652.327,4.391,0.565,0.044254,343.5411,0.4227,2.805,0.5481,1
1,0.556,2116.042,1754.561,4.31,0.583,0.05477,363.09534,0.3588,2.3893,0.5623,1
1,0.513,2096.49,1721.06,4.529,0.589,0.02306,269.12137,0.3426,2.868,0.4842,1
0,0.524,2120.771,1749.615,4.742,0.587,0.024521,270.849182,0.2939,2.5211,0.4893,1
3,0.538,2167.895,1798.732,4.278,0.584,0.041945,342.139335,0.5133,2.8021,0.5471,1
0,0.462,1990.631,1647.914,4.5,0.598,0.04224,323.418937,0.2116,2.2189,0.5294,1
4,0.548,2102.825,1752.493,4.534,0.586,0.069693,440.998266,0.3513,2.3032,0.6189,1
1,0.542,2120.753,1748.64,4.267,0.597,0.045221,334.586552,0.5192,2.651,0.539,1
1,0.529,2082.729,1697.264,4.481,0.624,0.018671,239.995448,0.3387,2.9121,0.4578,1
2,0.53,2091.187,1729.316,4.436,0.574,0.05696,393.29831,0.503,3.1598,0.5876,1
1,0.555,2114.231,1748.076,4.546,0.599,0.03245,326.024731,0.2797,2.2191,0.5362,1
0,0.52,2073.01,1706.543,4.442,0.609,0.030362,323.696333,0.3404,2.5171,0.5314,1
2,0.5,2083.877,1728.042,4.51,0.608,0.031746,322.153783,0.2452,2.3768,0.53,1
0,0.519,2123.856,1752.227,4.629,0.583,0.021174,264.672089,0.1972,2.2557,0.4789,1
1,0.516,2158.22,1781.054,4.417,0.577,0.017351,256.920135,0.4003,2.8295,0.4729,1
0,0.513,2132.765,1724.108,4.471,0.591,0.005852,138.364067,0.1405,2.9768,0.3487,1
1,0.55,2139.092,1739.486,4.21,0.57,0.014592,228.576697,0.465,3.1747,0.4466,1
0,0.512,2097.705,1722.113,4.455,0.513,0.018636,241.818149,0.1975,2.542,0.4622,1
1,0.546,2078.036,1687.114,4.291,0.574,0.025401,269.554787,0.4758,3.2526,0.4832,1
1,0.525,2185.278,1792.319,4.274,0.563,0.010313,192.884866,0.5012,3.2348,0.4081,1
0,0.534,2122.631,1736.885,4.666,0.591,0.015866,246.921443,0.1701,2.482,0.4601,1
0,0.503,2232.9,1832.145,4.515,0.537,0.007232,157.374356,0.2877,2.6778,0.3696,1
0,0.501,2185.583,1774.15,4.48,0.586,0.005413,145.212051,0.3435,2.8594,0.3568,1
