TCSC,MAV,STE,MEA,shannon,sample,b_power_git,energy_git,skewness,kurtosis,std_dev,rhythm
25,0.267,1630.582,1390.932,4.877,0.494,0.0035,120.9123,-0.2752,3.3184,0.3304,1
20,0.231,1598.014,1373.417,4.806,0.449,0.0022,95.2029,-0.4059,3.1744,0.2953,1
26,0.254,1608.543,1365.427,5.059,0.485,0.0024,95.3876,-0.7346,3.3811,0.296,1
27,0.222,1653.33,1401.524,4.819,0.447,0.0013,75.2287,-0.6565,3.123,0.2656,1
31,0.25,1718.772,1446.345,4.789,0.499,0.0017,99.1706,-0.4391,2.7086,0.3022,1
28,0.26,1760.619,1453.922,5.056,0.423,0.0018,88.1968,-0.8174,2.8224,0.2852,1
27,0.261,1729.581,1443.304,4.921,0.529,0.0019,91.1455,-0.4992,2.6031,0.2899,1
26,0.233,1707.532,1431.486,4.8,0.552,0.0013,82.7082,-0.5232,2.6089,0.274,1
26,0.252,1799.131,1486.568,4.824,0.461,0.0018,89.7921,-0.6275,2.2802,0.2861,1
29,0.294,1799.196,1488.389,4.996,0.493,0.004,123.0637,-0.4817,2.5228,0.3316,1
21,0.377,1645.11,1402.031,4.563,0.548,0.0157,254.3148,0.5212,3.4169,0.4685,1
21,0.393,1684.376,1435.295,4.198,0.604,0.0174,276.4535,0.3679,2.9429,0.4921,1
17,0.464,1634.809,1400.3,4.499,0.568,0.0537,412.0465,0.0024,3.3759,0.59,1
23,0.384,1633.181,1389.632,4.947,0.689,0.0237,253.3611,-0.1145,2.8023,0.4767,1
25,0.392,1773.855,1477.617,4.949,0.614,0.0254,250.2144,-0.1092,2.287,0.46,1
21,0.379,1751.771,1468.103,4.674,0.621,0.0185,244.1051,-0.0259,2.4261,0.4553,1
23,0.312,1705.507,1426.899,4.763,0.641,0.0072,157.111,-0.2269,2.4689,0.3653,1
18,0.429,1707.21,1432.012,4.668,0.587,0.0418,313.0055,0.1121,2.4734,0.5125,1
26,0.328,1760.542,1469.386,4.835,0.731,0.0086,174.4839,-0.1678,2.3803,0.3873,1
21,0.297,1715.989,1445.939,4.472,0.737,0.009,154.5765,-0.1377,2.6192,0.3636,1
24,0.339,1743.471,1466.042,4.822,0.648,0.0104,192.6403,-0.2375,2.7699,0.4037,1
17,0.405,1828.364,1543.845,4.729,0.606,0.0351,281.4403,-0.0788,2.5245,0.4825,1
21,0.35,1714.508,1429.992,4.816,0.592,0.0102,167.0797,-0.1164,2.48,0.3744,1
21,0.342,1720.128,1456.08,4.836,0.589,0.0084,192.4757,-0.297,2.9527,0.4029,1
17,0.354,1699.753,1432.678,4.763,0.601,0.0159,227.9126,-0.035,2.5982,0.434,1
19,0.334,1642.136,1400.547,4.908,0.62,0.0155,194.9617,-0.3651,3.5702,0.4026,1
17,0.344,1781.989,1505.002,4.823,0.568,0.0178,212.0323,-0.0736,2.6044,0.4201,1
18,0.325,1691.888,1429.594,4.548,0.625,0.0096,173.9191,-0.2017,2.7898,0.3826,1
18,0.393,1841.518,1525.768,5.135,0.575,0.0174,223.3332,-0.4314,2.4386,0.4304,1
16,0.405,1773.942,1489.046,4.872,0.495,0.0212,273.4467,-0.2441,2.575,0.4761,1
20,0.283,1621.598,1391.241,4.896,0.574,0.0055,143.4626,-0.4496,4.0574,0.3467,1
19,0.321,1831.378,1524.484,4.7,0.58,0.0092,169.5768,-0.0807,2.1562,0.3768,1
14,0.348,1784.166,1502.626,4.546,0.548,0.0189,217.3253,0.0005,2.5255,0.4257,1
17,0.264,1611.872,1372.818,4.526,0.583,0.0035,117.0001,-0.0695,2.6935,0.3171,1
15,0.284,1709.795,1441.146,4.658,0.562,0.0051,140.6546,-0.1177,2.754,0.3444,1
12,0.355,1673.561,1410.374,5.003,0.522,0.0185,218.0207,-0.4828,2.8783,0.4248,1
16,0.255,1719.984,1449.899,4.56,0.553,0.0034,106.2587,-0.3501,2.9338,0.3012,1
19,0.258,1655.781,1412.395,4.432,0.575,0.0037,109.6704,0.2191,2.8861,0.3024,1
16,0.281,1628.955,1382.874,4.908,0.52,0.0043,117.8118,-0.8827,4.3024,0.3151,1
18,0.297,1706.759,1444.32,4.691,0.503,0.0068,150.12,-0.4601,3.1799,0.355,1
14,0.267,1728.029,1451.347,4.72,0.481,0.0036,110.6776,-0.3435,3.0862,0.3057,1
16,0.279,1870.95,1562.57,4.76,0.538,0.0051,117.8201,-0.4109,2.4785,0.318,1
16,0.267,1715.267,1453.86,4.771,0.511,0.0075,129.1686,-0.3671,3.2027,0.3259,1
10,0.331,1633.203,1405.068,5.234,0.423,0.0151,209.1926,-0.7777,3.9145,0.42,1
10,0.188,1737.64,1474.874,4.656,0.575,0.0011,64.278,-0.2479,2.946,0.2312,1
15,0.263,1640.027,1401.199,4.904,0.509,0.0048,129.2649,-0.6011,3.4443,0.3286,1
15,0.23,1594.044,1366.131,4.735,0.564,0.0026,97.2537,-0.5089,3.3036,0.2845,1
10,0.237,1588.558,1377.057,4.741,0.542,0.0042,109.1474,-0.5337,3.5782,0.301,1
15,0.276,1741.325,1471.267,4.459,0.526,0.0051,137.4614,-0.2185,2.8364,0.3375,1
15,0.289,1655.913,1401.413,4.786,0.504,0.0076,148.9955,0.042,2.7375,0.3528,1
16,0.253,1653.323,1414.49,4.758,0.502,0.0029,116.4892,-0.7138,3.0921,0.3122,1
7,0.258,1556.678,1356.901,4.789,0.52,0.0057,139.2635,-0.5234,3.8743,0.3392,1
6,1.092,1684.865,1414.947,3.965,0.04,0.0048,237.5995,0.9722,6.0603,0.6352,0
16,1.148,1586.924,1361.853,3.749,0.048,0.0256,308.4496,0.8469,5.232,0.747,0
7,1.05,1893.354,1528.006,3.691,0.066,0.0018,120.6929,1.4707,5.7595,0.3782,0
8,0.986,1773.854,1446.899,3.893,0.061,0.0019,130.2217,1.5357,6.6749,0.3905,0
16,1.528,1752.102,1530.559,2.781,0.029,0.025,331.5492,0.6766,3.6983,1.1776,0
4,2.254,2024.031,1728.257,2.268,0.025,0.3553,990.9958,0.1233,1.9024,2.0646,0
6,1.39,1703.246,1495.249,3.77,0.04,0.0661,468.8418,0.3044,2.6301,1.1851,0
24,1.347,1665.956,1435.183,3.661,0.039,0.0154,359.2706,1.6874,6.3886,0.7822,0
14,1.375,1706.95,1514.066,2.923,0.032,0.064,579.5798,0.8386,3.1587,1.2481,0
12,1.329,1672.691,1425.681,3.566,0.038,0.099,593.0181,-0.3445,3.648,1.0931,0
9,0.97,1719.372,1424.212,3.831,0.049,0.0059,192.8338,-0.1724,5.8385,0.5306,0
11,1.463,1715.415,1474.805,2.579,0.039,0.0514,432.7694,0.8127,3.2074,1.0297,0
19,1.443,1724.492,1522.751,4.388,0.04,0.0099,252.7592,0.5879,3.6091,0.8125,0
4,2.36,2077.355,1799.74,1.399,0.018,0.1709,784.1921,0.4104,1.6536,1.9802,0
12,1.142,1627.637,1386.056,3.687,0.06,0.0166,343.3906,0.098,3.4718,0.7231,0
9,1.342,1701.994,1458.473,3.635,0.04,0.0792,634.6011,0.5439,2.8646,1.1609,0
15,0.986,1593.016,1353.847,4.129,0.043,0.005,212.5763,0.1753,6.2665,0.6658,0
6,0.956,1823.457,1482.363,3.535,0.068,0.0021,129.1995,1.4513,5.6605,0.3873,0
8,1.107,1801.534,1490.499,3.726,0.05,0.0139,243.5893,0.8025,4.9945,0.5605,0
10,1.024,1740.937,1427.004,4.049,0.067,0.0034,149.5212,1.324,5.8246,0.4359,0
16,1.17,1645.935,1401.876,3.696,0.051,0.0449,427.0736,0.5303,3.6827,0.8246,0
12,0.953,1762.098,1437.192,3.378,0.065,0.0021,125.3545,1.6795,6.9715,0.3692,0
14,1.471,1706.131,1447.758,3.553,0.038,0.0253,318.8384,0.6541,3.4877,1.0052,0
11,1.081,1589.482,1410.784,3.016,0.037,0.0577,446.2509,0.9573,4.234,1.0285,0
6,1.118,1870.186,1515.423,3.744,0.055,0.0017,135.9769,1.6644,6.2023,0.4183,0
18,1.127,1587.045,1374.873,3.247,0.038,0.0775,486.2286,0.734,5.1504,0.8615,0
4,1.064,1852.885,1492.788,3.342,0.053,0.0019,118.9113,1.9971,7.5935,0.3543,0
10,1.053,1720.241,1451.77,3.326,0.048,0.0249,319.7822,0.8914,4.2899,0.6802,0
14,1.035,1694.493,1404.525,3.717,0.07,0.0025,144.2371,1.0983,5.1655,0.466,0
14,1.182,1616.039,1410.673,3.7,0.04,0.0171,301.6732,0.5175,3.8451,0.8409,0
3,1.16,1782.384,1465.325,3.563,0.041,0.0075,222.6081,0.7631,4.8983,0.6228,0
12,1.217,1640.938,1453.01,3.357,0.04,0.0277,342.3764,0.6473,3.4171,0.9509,0
12,1.168,1615.018,1384.488,2.508,0.043,0.0514,458.6235,1.1399,4.7239,0.7769,0
21,1.127,1603.005,1380.766,3.703,0.039,0.0043,199.052,0.6043,4.7527,0.697,0
17,1.203,1605.676,1371.833,3.588,0.045,0.049,427.918,0.7281,3.9187,0.807,0
10,1.491,1736.632,1509.746,2.816,0.037,0.1049,598.3388,0.481,2.8073,1.1989,0
8,0.975,1707.375,1409.789,3.821,0.055,0.0029,156.7659,0.9056,6.0449,0.4401,0
14,0.981,1846.158,1496.005,3.432,0.058,0.0026,129.2026,1.7139,6.7798,0.3652,0
15,1.046,1795.953,1457.219,3.578,0.069,0.002,122.0437,1.4091,5.722,0.3892,0
7,0.979,1808.357,1472.571,3.812,0.063,0.002,127.1182,1.4327,5.6997,0.386,0
4,1.001,1823.434,1482.671,3.853,0.064,0.0022,127.0287,1.2725,5.7104,0.3977,0
18,0.981,1771.704,1446.782,3.592,0.059,0.0016,118.6199,1.6551,6.8951,0.3753,0
11,1.042,1811.517,1470.205,3.604,0.058,0.0023,130.272,1.5645,6.4193,0.3947,0
18,1.035,1765.967,1442.139,3.952,0.067,0.0023,128.1005,1.4263,6.1145,0.4112,0
19,1.236,1616.183,1378.556,3.385,0.038,0.0136,281.3318,0.6847,5.9741,0.7873,0
9,1.338,1682.96,1477.172,3.342,0.036,0.0309,385.1935,0.4559,3.1562,1.1722,0
18,1.08,1598.435,1355.501,3.119,0.048,0.0188,317.7101,1.2261,6.8127,0.6053,0
11,0.946,1824.653,1480.713,3.606,0.058,0.0014,107.2215,1.6067,6.6185,0.3515,0
5,1.039,1860.092,1508.131,3.524,0.06,0.0017,109.4841,1.7148,7.0241,0.3513,0
25,1.181,1598.958,1370.051,3.35,0.041,0.0254,346.3847,0.332,5.2104,0.7718,0
18,0.992,1754.782,1441.92,3.967,0.064,0.0026,140.0827,1.1063,4.7563,0.4711,0
17,1.019,1746.302,1436.253,3.649,0.062,0.0036,171.9627,1.3524,5.8334,0.4475,0
17,1.257,1623.644,1387.57,3.349,0.046,0.0056,230.5716,1.2343,5.6596,0.6333,0
7,1.505,1750.063,1533.298,3.174,0.033,0.0761,528.5972,0.3163,2.0901,1.3701,0
11,1.165,1742.786,1468.095,3.184,0.038,0.0227,320.6058,1.2042,4.469,0.7351,0
10,1.46,1721.252,1493.117,3.296,0.037,0.0366,423.9974,0.402,2.9016,1.1306,0
9,1.012,1708.638,1410.865,3.531,0.046,0.0039,191.2714,0.5005,6.0058,0.4969,0
12,1.049,1614.435,1369.972,3.727,0.045,0.0213,289.7652,1.0776,6.5028,0.602,0
14,1.275,1652.813,1380.581,3.175,0.057,0.0101,299.6743,1.1975,5.1773,0.581,0
0,6.688,1401.67,1368.373,1.937,0.011,16302.2396,302754.35,-2.8767,12.392,16.8284,0
0,16.386,1655.266,1621.003,1.525,0.016,302396.5523,829612.7681,-0.7909,3.1475,26.6152,0
0,5.844,1391.16,1374.257,3.17,0.001,2029.6554,218368.1058,-2.2924,10.7455,14.9181,0
0,5.346,1368.878,1338.946,2.442,0.007,7371.7125,277530.8148,-3.0995,16.1031,15.3963,0
3,0.877,1755.505,1441.58,3.592,0.058,0.0021,136.3615,1.5329,6.5095,0.3849,0
8,0.993,1820.197,1476.906,3.056,0.049,0.0023,137.218,2.1352,8.0235,0.3826,0
6,0.968,1837.531,1497.871,2.829,0.049,0.0022,131.3318,1.959,7.4635,0.3774,0
0,1.872,1284.682,1264.465,3.906,0.005,206.0966,39755.8017,-11.038,138.1731,6.5003,0
12,1.359,1696.742,1503.011,3.211,0.039,0.075,557.4494,0.0826,3.3139,1.1147,0
16,0.934,1602.358,1365.896,3.46,0.059,0.0136,315.9607,0.476,3.6988,0.7287,0
22,1.003,1656.657,1384.27,2.829,0.048,0.0082,241.4896,1.777,7.3359,0.5014,0
9,1.13,1682.713,1405.06,2.607,0.054,0.008,245.0698,1.2959,4.1558,0.5782,0
9,1.613,1779.053,1530.619,3.371,0.04,0.1448,673.5562,0.2675,2.392,1.3973,0
11,1.099,1650.838,1409.291,2.613,0.049,0.0209,399.6709,0.5986,3.0498,0.9097,0
7,0.919,1710.159,1418.852,2.909,0.041,0.0062,199.3793,2.0532,7.8418,0.4659,0
18,1.455,1716.281,1489.54,2.322,0.037,0.0811,569.0165,0.5504,4.0996,1.1561,0
8,1.829,1871.362,1628.6,2.49,0.033,0.2174,804.186,0.4869,2.4934,1.6038,0
9,1.466,1723.638,1495.311,2.893,0.038,0.0438,502.8464,0.4184,2.9736,1.3793,0
24,1.058,1574,1347.11,2.946,0.045,0.021,354.9835,1.491,6.4307,0.6412,0
19,0.952,1692.965,1415.601,2.041,0.031,0.0105,268.7241,2.4889,8.673,0.5168,0
15,1.095,1565.785,1345.042,2.274,0.036,0.0113,354.6978,2.0469,7.5763,0.6405,0
20,0.967,1719.514,1438.443,3.057,0.041,0.0154,317.0015,1.116,5.9848,0.6262,0
15,0.968,1726.499,1431.722,1.777,0.035,0.0092,241.8644,2.4275,8.7013,0.4805,0
16,1.047,1745.119,1441.738,2.263,0.037,0.0097,251.2053,2.4227,8.8035,0.5014,0
13,1.02,1796.112,1453.01,3.462,0.086,0.0022,125.4369,1.6798,8.1966,0.361,0
15,0.973,1737.928,1424.022,3.645,0.075,0.0042,172.1905,1.6394,7.1829,0.4086,0
12,1.001,1830.877,1477.307,4.232,0.081,0.0064,145.8421,0.3279,4.247,0.3644,1
8,0.997,2300.106,1907.054,4.882,0.106,0.0033,120.7761,-0.3566,2.6785,0.3404,1
4,1.412,2143.365,1725.413,4.157,0.085,0.0031,111.0004,0.3133,3.494,0.3341,1
6,1.018,2175.997,1781.638,4.356,0.068,0.0063,151.656,-0.2087,3.5204,0.3796,1
7,1.25,1990.114,1628.107,4.509,0.06,0.0031,140.2319,0.557,3.611,0.3957,1
10,1.043,1833.493,1515.017,4.364,0.055,0.0038,134.7358,0.3619,3.4064,0.3903,1
0,1.136,2379.916,1931.242,4.152,0.094,0.0007,48.2724,0.0837,2.6231,0.2046,1
2,1.029,2126.955,1695.174,4.479,0.078,0.0019,74.6033,-0.1558,3.4066,0.2583,1
1,1.066,2369.233,1937.051,4.481,0.072,0.0018,84.3473,-0.1967,2.891,0.2678,1
1,0.974,2257.644,1813.104,4.278,0.075,0.001,63.1623,0.0439,2.9071,0.2311,1
2,0.946,2258.162,1827.223,4.466,0.068,0.0024,85.4445,-0.1996,3.2022,0.2674,1
4,0.888,2290.21,1877.69,4.785,0.062,0.0029,102.6725,-0.4676,3.1349,0.2851,1
0,6.891,1414.469,1391.743,2.55,0.014,25742.7825,348681.4011,-2.424,9.8477,18.1669,1
10,1.176,1733.42,1475.253,4.262,0.03,0.06,450.0083,0.9127,4.3826,0.6905,1
14,1.247,1633.134,1398.058,3.9,0.023,0.0521,388.4241,1.3693,7.1939,0.6896,1
4,1.46,1882.04,1539.611,4.086,0.039,0.0097,182.776,0.8564,3.5782,0.4393,1
15,0.584,1624.908,1402.553,4.928,0.059,0.0639,680.6563,-0.6519,3.5534,0.7885,0
17,0.447,1577.664,1377.991,5.531,0.057,0.031,394.3137,-1.4559,4.9408,0.5982,0
13,0.651,1630.704,1405.874,4.75,0.051,0.1564,835.6516,-0.1088,3.5189,0.8508,0
16,0.417,1547.445,1358.509,5.443,0.052,0.0292,357.1561,-1.5437,5.4843,0.5605,0
12,0.523,1551.998,1353.448,5.233,0.053,0.04,555.7557,-0.6408,3.761,0.6918,0
17,0.554,1653.658,1418.109,5.046,0.059,0.0483,563.9098,-0.6034,3.5008,0.7063,0
16,0.55,1637.806,1403.514,4.861,0.064,0.0631,545.6573,-0.4505,3.3873,0.6962,0
12,0.597,1554.509,1360.228,5.005,0.05,0.0703,745.5354,-0.1303,4.5512,0.8051,0
17,0.474,1596.815,1390.385,5.195,0.054,0.0307,463.0203,-1.0095,4.158,0.6383,0
27,0.551,1663.293,1428.246,4.75,0.075,0.0591,564.3483,-0.3726,3.3951,0.7112,0
14,0.572,1508.795,1330.406,5.133,0.071,0.0828,602.263,-0.8802,4.1594,0.7191,0
26,0.524,1586.162,1375.447,5.565,0.075,0.0335,472.8524,-1.2217,4.6842,0.6655,0
14,0.535,1568.187,1369.896,5.449,0.046,0.0509,588.9391,-0.657,4.7483,0.716,0
12,0.562,1519.681,1336.994,4.823,0.051,0.0861,685.2217,-0.2541,4.67,0.7531,0
12,0.716,1606.542,1384.461,4.695,0.051,0.2045,975.201,0.2274,3.736,0.9155,0
18,0.474,1627.539,1407.699,5.181,0.057,0.0305,442.5944,-0.8438,3.8314,0.6252,0
16,0.632,1613.113,1388.781,5.21,0.047,0.1035,770.3376,-0.258,4.0005,0.812,0
13,0.637,1593.501,1379.115,4.729,0.047,0.144,778.6733,-0.0064,4.1647,0.8203,0
15,0.588,1652.001,1425.548,5.201,0.049,0.0818,710.0273,-0.402,3.8135,0.7777,0
11,0.582,1618.445,1399.367,4.914,0.053,0.0686,658.5775,-0.4201,3.928,0.7515,0
12,0.671,1660.089,1415.454,4.568,0.051,0.1319,818.0645,0.15,3.6002,0.8362,0
16,0.567,1617.879,1393.136,4.975,0.052,0.0699,618.0961,-0.6716,3.6092,0.7308,0
12,0.758,1585.527,1362.38,4.619,0.051,0.1497,1046.8958,0.3078,3.4364,0.9455,0
13,0.635,1659.363,1418.202,5.065,0.052,0.1175,747.6739,-0.3002,3.4363,0.7993,0
10,0.531,1587.02,1380.206,4.804,0.053,0.0728,588.9991,-0.3283,3.9634,0.7121,0
13,0.723,1739.695,1460.76,4.432,0.054,0.1956,881.8007,-0.0572,2.6169,0.8702,0
18,0.468,1562.404,1364.193,5.129,0.053,0.0411,456.4692,-0.8944,4.2002,0.6299,0
12,0.571,1561.416,1358.478,5.019,0.052,0.0695,631.1467,-0.3864,4.4692,0.7451,0
15,0.604,1683.311,1441.991,4.96,0.052,0.0953,711.2607,-0.054,3.3961,0.7748,0
13,0.635,1709.295,1447.085,4.611,0.055,0.1122,714.8223,-0.0764,2.9768,0.783,0
16,0.585,1755.148,1489.076,4.847,0.052,0.0783,590.7246,-0.0879,3.0562,0.7223,0
14,0.686,1615.23,1381.235,4.521,0.053,0.1554,850.9655,0.0917,3.2505,0.8572,0
12,0.389,1495.706,1322.295,5.479,0.052,0.0162,308.6079,-1.0995,5.1241,0.5167,0
8,0.614,1605.348,1394.211,4.856,0.048,0.1691,789.7096,-0.142,3.8118,0.8268,0
13,0.588,1604.983,1376.661,4.879,0.052,0.084,619.9177,-0.6137,3.7904,0.7273,0
14,0.48,1565.466,1363.075,4.879,0.057,0.0452,458.81,-0.7622,4.1363,0.6346,0
10,0.527,1607.19,1398.087,4.941,0.05,0.0677,585.7675,-0.2726,4.4628,0.7065,0
24,0.413,1559.994,1375.351,5.531,0.051,0.0277,381.8203,-1.5198,5.2756,0.5802,0
12,0.458,1523.852,1350.778,5.203,0.049,0.0587,483.0464,-0.3432,5.5557,0.6484,0
15,0.51,1575.49,1361.034,5.051,0.054,0.0515,476.9187,-0.6306,3.8068,0.6458,0
8,0.614,1573.151,1374.32,5.087,0.045,0.1379,790.888,-0.0036,4.2189,0.8334,0
10,0.509,1526.512,1347.495,4.902,0.045,0.0737,589.3299,0.2035,5.3971,0.7037,0
19,0.486,1575.873,1370.554,5.39,0.05,0.0479,470.2845,-0.9487,4.257,0.6422,0
11,0.623,1605.808,1385.077,4.619,0.052,0.1388,771.0344,-0.0611,3.6117,0.8085,0
12,0.518,1700.724,1457.756,5.091,0.054,0.048,500.9048,-0.5408,3.4597,0.6662,0
18,0.505,1643.512,1409.529,5.024,0.054,0.0534,475.8872,-0.3267,3.5604,0.6427,0
17,0.507,1613.344,1389.903,5.195,0.049,0.0424,479.5679,-0.9381,4.0764,0.6501,0
19,0.582,1650.108,1411.943,4.817,0.075,0.0583,591.7756,-0.188,3.4033,0.7181,0
20,0.703,1890.753,1565.738,3.574,0.07,0.3417,776.0383,0.3863,2.0651,0.808,1
33,0.352,1679.932,1415.455,4.893,0.112,0.0148,199.1742,-0.0176,2.5033,0.4167,1
24,0.374,1718.233,1447.175,4.645,0.102,0.0267,238.3503,-0.0137,2.5747,0.4553,1
23,0.338,1618.692,1377.95,4.552,0.081,0.0115,187.6308,0.1575,2.6096,0.403,1
19,0.338,1614.999,1389.432,3.881,0.003,1.2571,6342.8303,2.6276,9.5142,2.3133,1
0,3.118,1323.526,1312.039,4.087,0.003,1456.1181,157877.6569,-4.9052,28.1823,12.2335,1
0,6.186,1402.782,1389.585,2.75,0.008,46985.7755,346950.0847,-2.9281,11.2244,18.1788,1
19,0.594,1724.795,1466.854,4.273,0.031,0.6208,1352.7952,2.1382,10.3452,0.7432,1
12,0.414,1739.013,1466.488,4.454,0.071,0.0067,133.0726,0.3296,2.5969,0.4004,1
0,0.593,1261.938,1256.904,5.022,0.002,22.416,11561.9363,-16.5155,296.0275,4.2455,1
20,0.361,1640.54,1403.347,4.913,0.038,0.049,702.1705,-1.5134,6.5332,0.6716,1
0,29.825,2017.181,1996.434,1.468,0.009,11237.1255,188952.677,-0.1466,4.3563,14.5767,0
4,1.629,1952.614,1604.506,4.413,0.038,0.0301,354.1974,-0.2944,2.732,0.7502,0
28,0.71,1616.265,1361.762,4.803,0.039,0.0135,237.759,-1.3082,7.2366,0.4646,0
11,0.585,1596.499,1390.396,4.631,0.038,0.0109,246.3219,-0.4878,5.6481,0.52,0
16,0.471,1557.108,1342.861,4.755,0.042,0.0125,240.3032,-1.1689,7.3424,0.4851,0
9,0.579,1501.122,1336.131,4.6,0.026,0.2174,733.6608,-1.3294,8.0753,0.7836,0
4,0.318,1384.227,1286.218,4.728,0.026,0.0247,294.0354,-2.7442,18.4324,0.5075,0
2,0.435,1422.807,1305.232,5.208,0.025,0.0752,546.2442,-2.2842,11.5891,0.689,0
10,0.329,1492.136,1326.911,5.255,0.038,0.0084,230.3401,-1.6329,6.7846,0.4439,0
6,0.671,1526.607,1368.771,4.974,0.021,0.3326,1272.7631,-1.6788,6.51,1.0383,0
3,0.536,1445.029,1323.272,4.753,0.019,0.1521,899.8445,-1.9035,9.5271,0.8699,0
1,0.356,1376.103,1285.392,5.071,0.018,0.0098,410.3902,-3.1432,20.436,0.5909,0
2,0.383,1406.068,1297.368,5.112,0.024,0.0568,452.476,-2.5508,14.6078,0.6171,0
8,0.332,1491.725,1331.03,5.186,0.035,0.0059,185.5867,-2.1401,8.4362,0.4115,0
6,0.371,1554.011,1368.484,5.56,0.039,0.0192,276.183,-1.4251,5.1678,0.4906,0
7,0.362,1494.04,1325.371,5.178,0.037,0.0122,252.0166,-1.6585,6.2173,0.4684,0
7,0.46,1515.764,1330.69,5.116,0.044,0.0203,314.3285,-1.0404,4.2341,0.544,0
9,0.48,1547.108,1340.644,5.333,0.035,0.0209,324.5177,-1.3794,5.4499,0.5464,0
8,0.458,1574.743,1375.14,5.516,0.038,0.018,321.7325,-1.4344,5.2676,0.5408,0
7,0.478,1517.557,1328.449,5.575,0.048,0.0433,389.3921,-1.2796,5.3101,0.59,0
14,0.607,1654.868,1405.824,5.538,0.04,0.029,356.0067,-1.5306,5.8995,0.5694,0
10,0.529,1629.193,1395.83,5.033,0.047,0.0405,404.7633,-0.5828,3.2759,0.6016,0
10,0.639,1603.543,1375.659,4.91,0.054,0.0966,663.9112,-0.41,3.2053,0.777,0
8,0.556,1545.886,1350.344,5.491,0.041,0.0823,590.8447,-1.1377,4.7989,0.7209,0
12,0.551,1606.741,1376.85,5.377,0.052,0.0512,458.5184,-1.1253,4.2157,0.6476,0
16,0.575,1524.819,1329.675,5.178,0.051,0.0547,532.2419,-1.0889,4.3495,0.6977,0
17,0.493,1577.737,1362.38,5.594,0.047,0.0553,454.5568,-1.1898,4.0641,0.6249,0
0,5.865,1393.611,1379.365,3.548,0.005,4645.6323,263243.2487,-2.9397,12.9106,16.3229,0
0,8.514,1453.698,1426.297,3.385,0.006,28096.8097,351736.3301,-1.3136,6.6733,17.3469,0
12,1.047,1936.741,1589.662,5.399,0.044,0.2002,818.5197,-0.7239,2.7092,0.865,0
13,0.944,1865.321,1553.022,5.294,0.042,0.4739,1175.6229,-0.6306,2.0472,0.9999,0
13,1.022,2021.963,1678.114,5.224,0.041,0.5574,1207.6457,-0.6414,2.0366,1.0057,0
13,0.882,1942.443,1597.727,5.213,0.046,0.3442,992.13,-0.4943,1.9149,0.9205,0
12,0.851,1874.517,1554.557,5.125,0.045,0.4559,1088.2631,-0.5054,2.1044,0.9525,0
13,0.936,1846.878,1541.444,4.383,0.019,1.7077,4065.2517,0.8911,9.3395,2.2079,0
0,25.562,1904.144,1881.576,3.061,0.03,46883.6449,509924.6822,0.0416,5.2252,22.1807,0
13,1.415,1989.892,1687.715,4.611,0.048,0.3417,930.0195,-0.4159,2.0943,0.9499,0
6,1.251,1872.335,1606.072,4.211,0.049,0.7169,1482.475,-0.2733,2.3954,1.1651,0
13,1.311,1729.411,1455.048,4.059,0.049,3.0932,2694.4871,0.0918,2.5535,1.4978,0
14,1.134,1689.929,1417.076,4.096,0.048,1.5001,1901.276,-0.2513,2.6368,1.2741,0
12,1.158,1653.389,1403.91,4.269,0.046,1.9325,2340.6565,0.0938,2.7937,1.4126,0
14,1.068,1687.899,1434.792,4.346,0.045,1.5288,1993.6942,0.1189,3.034,1.3143,0
16,0.341,1480.788,1347.291,2.832,0.042,0.0051,258.1398,2.5377,9.9005,0.47,0
15,0.325,1466.412,1334.709,2.638,0.045,0.0049,217.2973,2.5596,10.5364,0.4472,0
14,0.32,1458.831,1331.928,2.638,0.043,0.0053,217.9135,2.6076,10.6568,0.4529,0
15,0.331,1472.639,1336.548,2.81,0.045,0.0057,206.7711,2.5186,10.3266,0.4422,0
13,0.352,1483.976,1340.689,3.103,0.047,0.013,251.5215,1.9842,8.3664,0.4803,0
16,0.332,1466.429,1334.905,2.896,0.045,0.0077,220.1128,2.546,10.3697,0.4555,0
16,0.333,1469.147,1335.593,2.67,0.044,0.0059,214.5991,2.5481,10.4359,0.4493,0
16,0.33,1462.858,1335.36,2.465,0.042,0.0049,216.7296,2.5722,10.0515,0.4642,0
12,0.357,1481.755,1340.359,3.146,0.044,0.0091,274.2145,1.9993,8.1758,0.4923,0
14,0.365,1494.576,1346.65,3.265,0.045,0.0092,260.608,1.9147,8.0391,0.4883,0
14,0.359,1491.636,1345.468,2.998,0.046,0.0112,256.2134,1.906,8.0645,0.484,0
15,0.325,1468.974,1335.688,2.788,0.044,0.0064,204.1062,2.5453,10.4614,0.4395,0
16,0.328,1469.855,1335.86,2.61,0.042,0.0061,204.8842,2.5682,10.5296,0.4401,0
15,0.326,1459.738,1329.869,2.614,0.045,0.0063,212.9735,2.5802,10.5707,0.449,0
16,0.329,1467.817,1334.476,2.681,0.044,0.0066,210.5945,2.5438,10.4336,0.4456,0
16,0.322,1473.876,1339.616,2.421,0.045,0.0059,197.1415,2.5748,10.4707,0.4312,0
17,0.334,1478.091,1339.099,2.913,0.044,0.0066,203.9877,2.4597,10.0592,0.4389,0
16,0.327,1467.598,1334.368,2.945,0.046,0.0059,212.1422,2.5056,10.2073,0.4467,0
